NAME,AMOUNT__C,ASSISTANCE_TYPE__C,CATEGORY__C,DATE_PAID__C,EXPENSE_STATUS__C,EXT_HOUSEHOLD__C,VENDOR__C,EXTERNAL_ID__C
Rental Arrears,1557.0,Rental Arrears,Housing,05/03/21,Paid,a1KS0000003P8DiMAK,,a0z4N000007oTsmQAE
Utility -March,229.51,Utility Arrears,Housing,03/17/21,Paid,a1KS0000003P8H9MAK,,a0z4N000007oT7dQAE
Walmart Gift Cards (4 Cards @ $25 a piece) for Household Items,100.0,Gift Card,Other Assistance,07/01/21,Paid,a1KS0000003P8HJMA0,,a0z4N000007oUn5QAE
Walmart Gift Cards (4 Cards @ $25 a piece),100.0,Gift Card,Other Assistance,05/05/21,Paid,a1KS0000003P8EVMA0,,a0z4N000007oTzZQAU
Kroger Gift Card,50.0,Gift Card,Other Assistance,11/25/20,Paid,a1KS0000003P8HAMA0,,a0z4N000007oUsuQAE
July Rent,695.0,Rent,Housing,06/28/21,Paid,a1KS0000003P8HDMA0,,a0z4N000007oUihQAE
March Rent,695.0,Rent,Housing,02/24/21,Paid,a1KS0000003P8HAMA0,,a0z4N000007oSsAQAU
NES,358.35,Utilities,Housing,10/02/18,Paid,a1KS0000003P89ZMAS,EJ Hyde,a0z610000044RS0AAM
Metro Water Arrears and Current,211.96,Utility Arrears,Housing,10/02/18,Paid,a1KS0000003P89YMAS,EJ Hyde,a0z610000044RUkAAM
Rent,450.0,Rent,Housing,11/01/18,Paid,a1KS0000003P89UMAS,EJ Hyde,a0z610000044NmWAAU
Rent,270.0,Rent,Housing,12/10/18,Paid,a1KS0000003P88qMAC,Urban Housing Solutions,a0z610000044eEjAAI
NES Deposit,250.0,Utility Deposit,Housing,12/10/18,Paid,a1KS0000003P88sMAC,Urban Housing Solutions,a0z610000044eF8AAI
Cleaning Fee,50.0,Other,Housing,12/10/18,Paid,a1KS0000003P88pMAC,Urban Housing Solutions,a0z610000044eEtAAI
Rental Deposit,1400.0,Rental Deposit,Housing,06/24/21,Paid,a1KS0000003P8HEMA0,,a0z4N000007oUimQAE
Rental Deposit,200.0,Rental Deposit,Housing,12/10/18,Paid,a1KS0000003P88rMAC,Urban Housing Solutions,a0z610000044eF3AAI
July Rent,900.0,Rent,Housing,07/01/20,Paid,a1KS0000003P8GxMAK,,a0z4N000006iGy3QAE
Prorated Rent and Fees,421.3,Rent,Housing,12/03/20,Paid,a1KS0000003P8H0MAK,,a0z4N000007FeKZQA0
Rent Debt (Whispering Oaks) Rental Arrears w/ Fees,1523.37,Rental Arrears,Housing,12/03/20,Paid,a1KS0000003P8GrMAK,,a0z4N000007FeO9QAK
Prorated Rent,80.0,Rent,Housing,03/18/21,Paid,a1KS0000003P8DOMA0,,a0z4N000007oT8MQAU
Rental Deposit,411.0,Rental Deposit,Housing,03/18/21,Paid,a1KS0000003P8HQMA0,,a0z4N000007oT7eQAE
SMV Registration and Napper Fee,60.0,Childcare Expenses,Other Assistance,07/19/21,Paid,a1KS0000003P8HAMA0,,a0z4N000007oUZoQAM
1/2 June Rent,459.5,Rent,Housing,05/27/21,Paid,a1KS0000003P8DbMAK,,a0z4N000007oTquQAE
NES Deposit,250.0,Utility Deposit,Housing,06/07/21,Paid,a1KS0000003P8GoMAK,,a0z4N000007oURyQAM
July Rent,1284.0,Rent,Housing,06/07/21,Paid,a1KS0000003P8GmMAK,,a0z4N000007oUMTQA2
1/2 August Rent,643.0,Rent,Housing,07/15/21,Paid,a1KS0000003P8HBMA0,,a0z4N000007oUyyQAE
Rental Deposit,300.0,Utility Deposit,Housing,06/07/21,Paid,a1KS0000003P8GnMAK,,a0z4N000007oUMYQA2
Rental Deposit,1800.0,Rental Deposit,Housing,07/01/20,Paid,a1KS0000003P8H5MAK,,a0z4N000006iGxyQAE
NES Deposit,250.0,Utility Deposit,Housing,06/23/21,Paid,a1KS0000003P8HGMA0,,a0z4N000007oUkZQAU
July Rent,411.0,Rent,Housing,06/30/21,Paid,a1KS0000003P8H9MAK,,a0z4N000007oUZjQAM
Rental Deposit,919.0,Rental Deposit,Housing,04/30/21,Paid,a1KS0000003P8DcMAK,,a0z4N000007oTqkQAE
First Month's Rent,1400.0,Rent,Housing,06/24/21,Paid,a1KS0000003P8HFMA0,,a0z4N000007oUirQAE
Portion of May Rent,550.0,Rent,Housing,05/14/21,Paid,a1KS0000003P8EtMAK,,a0z4N000007oU1gQAE
Portion of June Rent,550.0,Rent,Housing,05/14/21,Paid,a1KS0000003P8EsMAK,,a0z4N000007oU1lQAE
Kroger Gift Card,100.0,Gift Card,Other Assistance,05/28/21,Paid,a1KS0000003P8GkMAK,,a0z4N000007oUE8QAM
Goodwill Gift Cards (6 @ $25),150.0,Gift Card,Other Assistance,05/28/21,Paid,a1KS0000003P8GlMAK,,a0z4N000007oUE3QAM
June Rent,790.0,Rent,Housing,05/24/21,Paid,a1KS0000003P8EyMAK,,a0z4N000007oU7iQAE
1/2 August Rent,395.0,Rent,Housing,05/24/21,Paid,a1KS0000003P8EzMAK,,a0z4N000007oU7sQAE
July Rent,790.0,Rent,Housing,05/24/21,Paid,a1KS0000003P8ExMAK,,a0z4N000007oU7nQAE
Pro Rated Rent for First Month,494.0,Rent,Housing,11/07/18,Paid,a1KS0000003P88vMAC,Urban Housing Solutions,a0z610000044RI7AAM
UHS Cleaning Fee for Rental Deposit,50.0,Rental Deposit,Housing,11/07/18,Paid,a1KS0000003P88uMAC,Urban Housing Solutions,a0z610000044RI2AAM
First Full Month of Rent (second month),673.0,Rent,Housing,11/07/18,Paid,a1KS0000003P88tMAC,Urban Housing Solutions,a0z610000044RICAA2
Piedmont Gas Arrears and Current (w/in 6 mos),125.25,Utility Arrears,Housing,11/18/20,Paid,a1KS0000003P8HEMA0,,a0z4N000007Fe8CQAS
Metro Water Arrears and Current (w/in six mos),146.92,Utility Arrears,Housing,11/18/20,Paid,a1KS0000003P8GsMAK,,a0z4N000007Fe6xQAC
Pro Rated November Rent (Additional),64.0,Rent,Housing,11/18/20,Paid,a1KS0000003P8H0MAK,,a0z4N000007Fe7nQAC
December Rent,695.0,Rent,Housing,11/23/20,Paid,a1KS0000003P8HFMA0,,a0z4N000007Fe8RQAS
May Rent,919.0,Rent,Housing,04/30/21,Paid,a1KS0000003P8DdMAK,,a0z4N000007oTqpQAE
Lenore Gardens Rental Application Fee,35.0,Application Fee,Housing,11/19/20,Paid,a1KS0000003P8HLMA0,,a0z4N000007Fe8bQAC
NES Arrears,164.7,Utility Arrears,Housing,05/19/21,Paid,a1KS0000003P8FWMA0,,a0z4N000007oU8EQAU
June Rent,1195.0,Rental Arrears,Housing,06/10/21,Paid,a1KS0000003P8GqMAK,,a0z4N000007oUTjQAM
1/2 August Rent,597.5,Rent,Housing,07/06/21,Paid,a1KS0000003P8GpMAK,,a0z4N000007oUTtQAM
Rental Arrears,326.88,Rental Arrears,Housing,05/14/21,Paid,a1KS0000003P8F0MAK,,a0z4N000007oU89QAE
NES Deposit,200.45,Utility Deposit,Housing,10/12/18,Paid,a1KS0000003P8EpMAK,,a0z610000044NkaAAE
Gallatin PHA Arrears,568.7,Rental Arrears,Housing,11/23/20,Paid,a1KS0000003P8H6MAK,,a0z4N000007Fe9FQAS
November Pro Rated Rent,255.0,Rent,Housing,11/23/20,Paid,a1KS0000003P8HCMA0,,a0z4N000007Fe8MQAS
Rental Deposit,695.0,Rental Deposit,Housing,11/23/20,Paid,a1KS0000003P8HBMA0,,a0z4N000007Fe8HQAS
1/2 January Rent,347.5,Rent,Housing,12/18/20,Paid,a1KS0000003P8HDMA0,,a0z4N000007Fe8IQAS
July Rent,1195.0,Rent,Housing,06/10/21,Paid,a1KS0000003P8GrMAK,,a0z4N000007oUToQAM
a1H8M000000FAq5,120.0,Childcare Expenses,Other Assistance,10/17/18,,a1KS0000003P8EaMAK,,a0z610000044KSlAAM
a1H8M000000FAqF,90.0,Tuition,,12/04/18,,a1KS0000003P89fMAC,,a0z610000044VtnAAE
a1H8M000000FAq6,604.0,Drivers License/ID Expense,Other Assistance,09/25/19,,a1KS0000003P8HNMA0,,a0z4N000005MlsrQAC
a1H8M000000FAqD,20.0,Gift Card,Other Assistance,07/27/18,,a1KS0000003P8AuMAK,,a0z4N000004kmOjQAI
a1H8M000000FAqC,255.95,Gift Card,Other Assistance,07/31/19,,a1KS0000003P8CjMAK,,a0z4N000005M2j4QAC
a1H8M000000FAqB,20.0,Gift Card,Other Assistance,09/10/18,,a1KS0000003P8ApMAK,,a0z4N000004kmNqQAI
a1H8M000000FAqA,20.0,Gift Card,Other Assistance,09/20/18,,a1KS0000003P8AqMAK,,a0z4N000004kmO5QAI
a1H8M000000FAq9,20.0,Gift Card,Other Assistance,08/27/18,,a1KS0000003P8AiMAK,,a0z4N000004kmNbQAI
a1H8M000000FAq8,20.0,Gift Card,Other Assistance,08/27/18,,a1KS0000003P8AmMAK,,a0z4N000004kmNgQAI
a1H8M000000FAq7,20.0,Gift Card,Other Assistance,08/23/18,,a1KS0000003P8ArMAK,,a0z4N000004kmOFQAY
a1H8M000000FApr,140.0,Tuition,Education,12/07/18,,a1KS0000003P8AZMA0,,a0z610000044WdXAAU
a1H8M000000FAps,220.0,Tuition,Education,11/20/18,,a1KS0000003P89pMAC,,a0z610000044W4mAAE
a1H8M000000FApt,238.0,Tuition,Education,11/27/18,,a1KS0000003P89sMAC,,a0z610000044W56AAE
a1H8M000000FApu,220.0,Tuition,Education,12/04/18,,a1KS0000003P89mMAC,,a0z610000044W4rAAE
a1H8M000000FApv,95.0,Childcare Expenses,Other Assistance,11/08/18,,a1KS0000003P8EkMAK,,a0z610000044NjwAAE
a1H8M000000FApw,220.0,Childcare Expenses,Other Assistance,03/28/19,,a1KS0000003P8AWMA0,,a0z4N000004kmIgQAI
a1H8M000000FApx,100.0,Childcare Expenses,Other Assistance,11/20/18,,a1KS0000003P8CgMAK,,a0z61000003iLByAAM
a1H8M000000FApy,368.0,Childcare Expenses,Other Assistance,02/27/19,,a1KS0000003P8AaMAK,,a0z4N000004kmIvQAI
a1H8M000000FApz,359.5,Childcare Expenses,Other Assistance,02/19/19,,a1KS0000003P8AYMA0,,a0z4N000004kmIqQAI
a1H8M000000FAq0,107.0,Childcare Expenses,Other Assistance,05/02/19,,a1KS0000003P8CYMA0,,a0z4N000004sViBQAU
a1H8M000000FAq1,103.0,Childcare Expenses,Other Assistance,05/14/19,,a1KS0000003P8GwMAK,,a0z4N000004sVuHQAU
a1H8M000000FAq2,90.0,Childcare Expenses,Other Assistance,11/01/18,,a1KS0000003P8EZMA0,,a0z610000044KU7AAM
a1H8M000000FAq3,184.0,Childcare Expenses,Other Assistance,03/13/19,,a1KS0000003P8AXMA0,,a0z4N000004kmIWQAY
a1H8M000000FAq4,119.0,Childcare Expenses,Other Assistance,02/28/19,,a1KS0000003P8AfMAK,,a0z4N000004kmMsQAI
a1H8M000000FApq,119.0,Tuition,Education,02/19/19,,a1KS0000003P8AdMAK,,a0z4N000004kmLfQAI
a1H8M000000FApp,20.0,Other,Education,11/02/17,,a1KS0000003P8DQMA0,,a0z610000044ETvAAM
a1H8M000000FApn,250.0,Utility Deposit,Housing,12/19/19,,a1KS0000003P8HFMA0,,a0z4N000005OIo1QAG
a1H8M000000FAqE,20.0,Gift Card,Other Assistance,09/10/18,,a1KS0000003P8AjMAK,,a0z4N000004kmNvQAI
a1H8M000000FApk,250.0,Utility Deposit,Housing,09/04/19,,a1KS0000003P8CoMAK,,a0z4N000005MNeDQAW
a1H8M000000FApl,298.73,Utility Deposit,Housing,09/19/19,,a1KS0000003P8HMMA0,,a0z4N000005MljGQAS
a1H8M000000FApm,130.0,Utility Deposit,Housing,05/28/19,,a1KS0000003P8CeMAK,,a0z4N000004sWBAQA2
a1H8M000000FApo,250.0,Utility Deposit,Housing,01/28/20,,a1KS0000003P8DTMA0,,a0z4N000005OslSQAS
a1H8M000000FAok,950.0,Rental Deposit,Housing,12/13/19,,a1KS0000003P8HEMA0,,a0z4N000005OIp9QAG
a1H8M000000FAol,1198.0,Rental Deposit,Housing,09/17/19,,a1KS0000003P8HAMA0,,a0z4N000005Mf6wQAC
a1H8M000000FAom,250.0,Rental Deposit,Housing,01/18/19,,a1KS0000003P8HKMA0,,a0z4N000005N5NMQA0
a1H8M000000FAon,1300.0,Rental Deposit,Housing,08/29/19,,a1KS0000003P8BqMAK,,a0z4N000005ML4wQAG
a1H8M000000FAoo,350.0,Rental Deposit,Housing,08/01/19,,a1KS0000003P8HCMA0,,a0z4N000005M2YmQAK
a1H8M000000FAop,1075.0,Rental Deposit,Housing,02/27/20,,a1KS0000003P8HNMA0,,a0z4N000006ePjFQAU
a1H8M000000FAoq,500.0,Rental Deposit,Housing,04/30/19,,a1KS0000003P8GuMAK,,a0z4N000004sVMKQA2
a1H8M000000FAor,969.0,Rental Deposit,Housing,02/05/20,,a1KS0000003P88iMAC,,a0z4N000005PM2nQAG
a1H8M000000FAos,1075.0,Rental Deposit,Housing,02/27/20,,a1KS0000003P8HMMA0,,a0z4N000006ePj9QAE
a1H8M000000FAot,1000.0,Rental Deposit,Housing,07/10/19,,a1KS0000003P89WMAS,,a0z4N000005M2HuQAK
a1H8M000000FAou,1300.0,Rental Deposit,Housing,09/19/19,,a1KS0000003P8H6MAK,,a0z4N000005MmDaQAK
a1H8M000000FAov,950.0,Rental Deposit,Housing,07/03/19,,a1KS0000003P88nMAC,,a0z4N000005M268QAC
a1H8M000000FAow,1000.0,Rental Deposit,Housing,03/13/19,,a1KS0000003P8AyMAK,,a0z4N000004kmKhQAI
a1H8M000000FAox,975.0,Rental Deposit,Housing,04/26/19,,a1KS0000003P8GpMAK,,a0z4N000004sVJSQA2
a1H8M000000FAoy,800.0,Rental Deposit,Housing,06/10/21,,a1KS0000003P8GzMAK,,a0z4N000007oUV6QAM
a1H8M000000FAoz,250.0,Rental Deposit,Housing,04/08/19,,a1KS0000003P8BwMAK,,a0z4N000004kmZpQAI
a1H8M000000FAp0,965.0,Rental Deposit,Housing,08/06/19,,a1KS0000003P8ChMAK,,a0z4N000005M2daQAC
a1H8M000000FAp1,408.0,Rental Deposit,Housing,06/12/19,,a1KS0000003P88dMAC,,a0z4N000004sWZ9QAM
a1H8M000000FAp2,500.0,Rental Deposit,Housing,02/03/20,,a1KS0000003P8HLMA0,,a0z4N000005P3F4QAK
a1H8M000000FAp3,350.0,Rental Deposit,Housing,07/25/19,,a1KS0000003P88bMAC,,a0z4N000005M2OuQAK
a1H8M000000FAp4,1700.0,Rental Deposit,Housing,10/18/19,,a1KS0000003P8HGMA0,,a0z4N000005OInXQAW
a1H8M000000FAp5,700.0,Rental Deposit,Housing,06/19/19,,a1KS0000003P8EbMAK,,a0z4N000004sX6EQAU
a1H8M000000FAp6,800.0,Rental Deposit,Housing,09/13/19,,a1KS0000003P8HLMA0,,a0z4N000005MliwQAC
a1H8M000000FAp7,950.0,Rental Deposit,Housing,03/10/20,,a1KS0000003P8CVMA0,,a0z4N000006eUf3QAE
a1H8M000000FAp8,895.0,Rental Deposit,Housing,01/23/20,,a1KS0000003P8BmMAK,,a0z4N000005Ol6iQAC
a1H8M000000FAp9,246.0,Rental Deposit,Housing,05/08/20,,a1KS0000003P8BeMAK,,a0z4N000006fInqQAE
a1H8M000000FApA,678.0,Rental Deposit,Housing,04/15/19,,a1KS0000003P8BjMAK,,a0z4N000004kmPrQAI
a1H8M000000FAoj,639.0,Rental Deposit,Housing,03/05/19,,a1KS0000003P8AxMAK,,a0z4N000004kmMOQAY
a1H8M000000FApB,800.0,Rental Deposit,Housing,01/06/20,,a1KS0000003P8BlMAK,,a0z4N000005Ol7vQAC
a1H8M000000FAoi,300.0,Rental Deposit,Housing,03/10/20,,a1KS0000003P8AbMAK,,a0z4N000006eSByQAM
